<<<<<<< HEAD
﻿Полное наименование показателя;Краткое наименование показателя;Категория;Основание установления целевого показателя;Тематика;Статистические/динамические;Отдел;Управление
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Coordinator в зданиях ПУ (№2482);ПАК ViPNet Coordinator (ПУ);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем защиты сетей передачи данных;Управление информационной безопасности
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Terminal для сети ViPNet ПТО (№2756);Лицензии ViPNet Client (VTL);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Отдел «Удостоверяющий центр»;Управление информационной безопасности
Количество специалистов, подготовленных по образовательным программам в области информационной безопасности в организациях высшего и среднего профессионального образования, расположенных в Тульской области, человек, (чел);Количество специалистов, подготовленных по ИБ в Тульской области, чел;Федеральные проекты;"Паспорт проекта ""Цифровая экономика""";Информационная безопасность;Статистические ;Группа информационной безопасности;Управление информационной безопасности
Средний срок простоя государственных информационных систем в результате компьютерных атак, часов;Средний срок простоя ГИС в результате атак;Федеральные проекты;"Паспорт проекта ""Цифровая экономика""";Информационная безопасность;Статистические ;Группа анализа защищенности;Управление информационной безопасности
100% обеспечение квалифицированными сертификатами ключей проверки электронных подписей органов исполнительной власти Тульской области и подведомственных им учреждений;Обеспечение сертификатами ЭП ОИВ и ПУ;Государственная программа;"Государственная программа ""Информационное общество""";Информационная безопасность;Статистические ;Отдел «Удостоверяющий центр»;Управление информационной безопасности
100%  соблюдение установленных нормативными правовыми актами требований информационной безопасности в региональных системах правительства Тульской области;Соблюдение требования НПА по ЗИ в РИС;Государственная программа;"Государственная программа ""Информационное общество""";Информационная безопасность;Статистические ;Отдел аттестации информационных систем;Управление информационной безопасности
Доля взаимодействий граждан и коммерческих организаций с государственными (муниципальными) органами и бюджетными учреждениями, осуществляемых в цифровом виде, ПРОЦ;Доля обращений граждан и организаций в цифровом (электронном) виде;Государственная программа;Паспорт проекта «Цифровое государственное управление»;Социальное развитие;Динамические;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Доля приоритетных государственных услуг и сервисов, соответствующих целевой модели цифровой трансформации (предоставление без необходимости личного посещения государственных органов и иных организаций, с применением реестровой модели, онлайн (в автоматическом режиме), проактивно), ПРОЦ;Доля проактивных услуг (суперсервисы) в цифровом виде ;Государственная программа;Паспорт проекта «Цифровое государственное управление»;Социальное развитие;Динамические;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Доля отказов при предоставлении приоритетных государственных услуг и сервисов от числа отказов в 2018 году, ПРОЦ;Доля отказов при получении государственных услуг, по отношению к 2018 году;Государственная программа;Паспорт проекта «Цифровое государственное управление»;Социальное развитие;Динамические;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Доля внутриведомственного и межведомственного юридически значимого электронного документооборота государственных и муниципальных органов и бюджетных учреждений, ПРОЦ;Доля документов, отправленных по МЭДО;Государственная программа;Паспорт проекта «Цифровое государственное управление»;Социальное развитие;Динамические;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Количество государственных услуг, предоставляемых в электронном виде;Количество госуслуг, предоставляемых в электронном виде;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Количество разработанных сервисов СМЭВ2/СМЭВ3 на текущий момент (действующих);Количество разработанных сервисов СМЭВ2/СМЭВ3 на текущий момент (действующих);Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Количество разработанных сервисов за 2019 год;Количество разработанных сервисов за 2019 год;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Количество форм на РПГУ на текущий момент;Количество форм на РПГУ на текущий момент;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Количество пользователей в СИР;Количество пользователей в СИР;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
СМЭВ запросы, исходящие за 2019 год по настоящее время;СМЭВ запросы исходящие за 2019 год по настоящее время;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
СМЭВ запросы, входящие за 2019 год по настоящее время;СМЭВ запросы входящие за 2019 год по настоящее время;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Цифровая трансформация (оптимизация) государственных услуг, количество;Количество оптимизированных услуг в 2020 г;Государственное задание;Государственное задание;Социальное развитие;Статистические ;Отдел развития государственных и муниципальных услуг;Управление информационных систем
Доля больниц и поликлиник государственной и муниципальной систем здравоохранения, подключенных к сети «Интернет», %;"Доля ГУЗ, подключенных к сети ""Интернет""";Региональные проекты;"Паспорт проекта ""Информационная инфраструктура""";Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля фельдшерско-акушерских пунктов государственной и муниципальной систем здравоохранения, подключенных к сети «Интернет», % (нарастающим итогом);"Доля ФАП, подключенных к сети ""Интернет""";Региональные проекты;"Паспорт проекта ""Информационная инфраструктура""";Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля образовательных учреждений (за исключением образовательных учреждений при исправительных колониях), подключенных к сети «Интернет», %;"Доля ОУ, подключенных к сети ""Интернет""";Региональные проекты;"Паспорт проекта ""Информационная инфраструктура""";Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля органов государственной власти, подключенных к сети «Интернет», %;"Доля ОИВ, подключенных к сети ""Интернет""";Региональные проекты;"Паспорт проекта ""Информационная инфраструктура""";Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля органов местного самоуправления, подключенных к сети «Интернет», %;"Доля ОМСУ, подключенных к сети ""Интернет""";Региональные проекты;"Паспорт проекта ""Информационная инфраструктура""";Инфраструктура;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Число граждан, воспользовавшихся услугами (сервисами) в Личном кабинете пациента «Мое здоровье» на Едином портале государственных услуг и функций в отчетном году, тыс. чел;Количество обученных  в ГУЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, обеспечивающих преемственность оказания медицинской помощи путем организации информационного взаимодействия с централизованными подсистемами информационных систем в сфере здравоохранения, %;Количество АРМ в ГУЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля отделений (станций и подстанций) государственных учреждений здравоохранения Тульской области, обеспечивающих оказание скорой и неотложной медицинской помощи подключенных к централизованной системе (подсистеме) «Управление скорой и неотложной медицинской помощью» субъекта Российской Федерации, %;Количество АРМ в ТВСПМО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля отделений государственных учреждений здравоохранения Тульской области, обеспечивающих оказание скорой и неотложной медицинской помощи подключенных к централизованной системе (подсистеме) «Управление скорой и неотложной медицинской помощью (в части управления санитарной авиацией)» субъекта Российской Федерации, %;Количество АРМ в ФАП;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет) субъекта Российской Федерации, участвующих в реализации программ льготного лекарственного обеспечения, подключенных к региональной централизованной системе (подсистеме) «Управление льготным лекарственным обеспечением», %  ТВСП МО;Количество ФАП и ФП, подключенных к сети Интернет, ед.;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля аптечных организаций субъекта Российской Федерации, участвующих в реализации программ льготного лекарственного обеспечения, подключенных к централизованной системе (подсистеме) «Управление льготным лекарственным обеспечением» субъекта Российской Федерации, %;Количество ТВСПМО, подключенных к РИСЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет) субъекта Российской Федерации, участвующих в реализации программ льготного лекарственного обеспечения, подключенных к региональной централизованной системе (подсистеме) «Управление льготным лекарственным обеспечением», %  ФАП и ФП;Количество ФАП, подключенных к РИСЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенные к сети Интернет), оказывающих амбулаторно-поликлиническую помощь и осуществляющих первичный прием граждан, подключенных к региональной централизованной системе (подсистеме) «Управление потоками пациентов», % ТВСП МО;Взаимодействие с МСЭ ГУЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенные к сети Интернет), оказывающих амбулаторно-поликлиническую помощь и осуществляющих первичный прием граждан, подключенных к региональной централизованной системе (подсистеме) «Управление потоками пациентов», % ФАП и ФП;ЦМК юр.лиц;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), подключенных к региональной централизованной системе (подсистеме) «Телемедицинские консультации», % ТВСП МО;Количество станций, подключенных к СМП;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), подключенных к региональной централизованной системе (подсистеме) «Телемедицинские консультации», % ФАП и ФП;ТВСПМО, ведущие расписание в поликлинике;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), подключенных к региональной централизованной системе (подсистеме) «Лабораторные исследования», % ТВСП МО;ФАП, ведущие расписание;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), подключенных к региональной централизованной системе (подсистеме) «Лабораторные исследования», % ФАП и ФП;ТВСПМО, имеющие ТМК;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля клинико-диагностических лабораторий государственных учреждений здравоохранения Тульской области, подключенных к региональной централизованной системе (подсистеме) «Лабораторные исследования», %;ФАП, имеющие ТМК;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений, участвующих в оказании медицинской помощи беременным женщинам, подключенных к региональной централизованной системе (подсистеме) «Организации оказания медицинской помощи по профилям «Акушерство и гинекология» и «Неонатология» (Мониторинг беременных)», %;ТВСПМО КДЛ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), участвующих в оказании медицинской помощи, подключенных к региональной централизованной системе (подсистеме) «Организация оказания профилактической медицинской помощи (диспансеризация, диспансерное наблюдение, профилактические осмотры)», % ТВСП МО;ФАП КДЛ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), участвующих в оказании медицинской помощи, подключенных к региональной централизованной системе (подсистеме) «Организация оказания профилактической медицинской помощи (диспансеризация, диспансерное наблюдение, профилактические осмотры)», %  ФАП и ФП;Лаборатории ТВСМПО, подключенных к КДЛ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений, участвующих в оказании медицинской помощи больным онкологическими заболеваниями, подключенных к региональной централизованной системе (подсистеме) «Организация оказания медицинской помощи больным онкологическими заболеваниями», %;ЦАМИ В ГУЗ;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
 Доля государственных учреждений здравоохранения Тульской области, и их структурных подразделений (включая ФАП и ФП, подключенных к сети Интернет), оказывающих медицинскую помощь, которые передают структурированные электронные медицинские документы в подсистему «Региональная интегрированная электронная медицинская карта», % ТВСП МО;Подсистема МР в ГУЗ ТО;Региональные проекты;"Паспорт проекта ""Создание единого цифрового контура в здравоохранении Тульской области на основе единой государственной информационной системы здравоохранения (ЕГИСЗ)""";Здравоохранение;Динамические;Отдел развития РИСЗ ТО;Управление информационных систем
